,right_hip_deg,left_hip_deg,right_knee_deg,left_knee_deg,right_arm_deg,left_arm_deg,h_s_ratio
0,156.2417137360264,106.9620497068331,162.22710143002587,131.581022448327,175.73950576569163,176.14056603183226,2.669587951376475
1,159.0211297718017,104.70783625952755,164.0316293625474,131.087004281158,177.82232622793705,176.16742924128002,2.6829563740389766
2,159.04146184949332,104.61967583841592,164.03473238027902,131.00679689239539,177.83021268216632,178.31548601916597,2.6508346581875983
3,158.66103011084635,101.4325203710166,163.56069708444585,128.44568311365566,179.23073197165692,178.22850466656755,2.650534169168285
4,156.13389778251832,103.52585590316649,160.95765091390496,129.88779399960626,177.9035568786053,178.29029952178615,2.697487032731177
5,159.0712287777604,103.18297563965172,164.00000352773688,129.39841975830646,178.56785954111336,177.60572925268295,2.6634344504790914
6,158.63323168900467,103.1995329140264,163.49554111247772,129.4074061056459,177.91785161386156,177.60637761639535,2.6631920529801323
7,157.866691822054,104.96811836150263,162.82656822021423,130.9835136113457,178.27875337106755,177.63269920722652,2.6958705756167323
8,157.4603054234605,103.83368244486174,163.43897362197137,129.89240287993064,179.25223915510423,177.63594807928632,2.662622473298613
9,153.42219989151906,105.05583011293221,160.16133419878759,129.27286628848952,177.89340854248397,177.55847472936,2.649834502846549
10,152.90896467155488,105.07858869686783,159.49879514098825,129.27132253709647,178.53401650030773,176.4293563175582,2.637343280946495
11,154.17893763705356,103.02239516477485,160.87084666145245,127.84069172952843,177.18267821882887,176.70575801972677,2.610679140373328
12,156.47122585099632,102.31134836316946,162.09878845501086,126.6908413097388,177.11577005000888,178.06601087341133,2.5721655854185985
13,155.5743458775754,103.42561275299101,162.07728145220366,126.61324172091213,177.5143867437552,177.37930489392116,2.5734060402684564
14,153.81399992748297,105.36828183178902,161.4575578386627,127.80071578984744,178.20118920317296,177.84831559664693,2.619052942228583
15,149.4808369883151,106.20795793984166,155.89207411058007,128.96854481230508,178.84082407460608,178.53778780204073,2.607350243815149
16,154.67799405466602,105.52453721699355,160.82510257845465,127.91195191039776,178.20721296128886,178.53467234203086,2.6072029348604153
17,145.99098524029188,108.84514832172408,153.15663920715147,128.87416879330252,178.1688277671973,178.54609506459443,2.6419220308250244
18,151.23742040214475,108.98100652218427,156.71223194188437,128.9948497191018,177.4869052023915,179.338256814434,2.699287875261809
19,150.91828249617257,113.50039293759677,157.3085305863555,133.62182000419637,179.54984775407019,178.90788411762637,2.6639762965685145
20,155.5269463434377,111.4807266542343,159.88759686604075,133.6965875102457,178.7140730763635,179.26110042497407,2.6631917336394952
21,154.8277958522497,113.39454245482919,159.19080798685607,134.96945100718474,176.60913818382141,178.07863914401352,2.614641772782888
22,154.94519409760116,115.91641000471212,160.5477271271655,135.92588544489837,175.66548274798183,178.15118227220947,2.6152531616880488
23,160.1970743228052,123.2611784391401,165.32674559174367,142.55119046134453,175.61754958944718,179.6440625163817,2.6366634513802767
24,159.69825428505698,125.70220198543767,164.5768789280441,145.0358591761774,178.52457007485964,179.19435535087078,2.6488430814433945
25,159.86671486652838,126.61560486378788,165.41788498200503,144.9409400652718,179.26496169122726,179.78389912313807,2.672417807581261
26,159.92311001004745,134.3215955494865,165.42648578884766,149.59019149582318,178.7972534996235,179.59533657723549,2.695450040118942
27,160.9480583845374,134.08579656911968,163.30074176881104,151.3409227431051,178.1070432295939,179.2811306668169,2.7194514909299756
28,159.86165753755816,136.44325059060264,162.1829977218357,153.33422927444997,179.57522528057035,179.34603009882514,2.69456793619331
29,161.36779962006113,140.9647516652907,163.68888451701176,156.63715182523165,179.14726813477733,179.7418544443748,2.6668302581284524
30,166.99887666363418,143.77907111368583,170.57593871207055,157.3782171802666,176.95890162892226,174.3834085087439,2.680456840813632
31,168.54103402016884,146.2239908913813,172.51176005822,161.64104267592163,179.64930220641963,175.2097709914049,2.5890471535632833
32,166.93042762111082,150.75295978066256,170.58686375901084,166.36985048171965,176.3955036459878,173.5410797285778,2.5499464443720017
33,168.4446497665904,151.18942579048687,173.18536262865757,167.4846812616174,175.90338584486824,174.22191874810983,2.5711850802644007
34,169.43610836505624,154.6332720277241,175.1463044832426,170.05611697137823,176.98907308120505,176.6068137478347,2.5709840400415533
35,170.05404459769414,157.8678937403261,176.26236078533265,172.81541605735507,177.99234407260377,176.7683315333009,2.5717916017193323
36,170.28190760758693,161.464952150667,176.37742730158837,177.24093337786837,177.5257842304841,176.2267628588061,2.593439954031796
37,170.96328901874008,162.92416767110825,176.43499428307098,178.4904924373679,177.5150411630334,176.68895421531616,2.594385359777714
38,171.34464492708932,165.0208017788176,178.484043899525,178.94404639308044,179.26456358795787,178.97200505921052,2.6306873937333024
39,173.27892533229243,166.48005299130332,178.16087733657974,179.2662009152616,178.2146209102833,178.9145022908413,2.6665205398482907
40,171.84079112512927,167.4432972961872,179.35851875935046,179.5123666136526,179.81925750890278,178.99381954658838,2.6516742170573186
