,right_hip_deg,left_hip_deg,right_knee_deg,left_knee_deg,right_arm_deg,left_arm_deg,h_s_ratio
0,167.07959283640903,167.514446510664,179.1539992963106,179.41246727383034,177.89486554492427,177.16305826441138,1.4280645389069337
1,167.14448851618351,167.522997637593,179.03395641242994,179.35708445734917,177.89208404120905,176.944043874814,1.4279359195021846
2,167.0996480509872,167.51295683818392,179.131099197541,179.35271945085066,177.8808886716287,177.14780881214134,1.427715283079653
3,167.16155156274047,167.51123885326453,179.0109775534705,179.49002111482292,177.89244052633506,175.868601140374,1.4154153756521275
4,167.10588312354028,167.51592392420093,179.12856369877838,178.8368357571644,177.89290370710407,175.87549589801714,1.4153808128244052
5,167.04890592029335,167.5153545430223,179.23306301492835,178.83664674795637,177.89459307536646,176.04667420649807,1.4152213248598786
6,167.09824459303647,167.50489029389416,179.18028574691468,179.36079771325424,177.8970931022982,175.87664321897157,1.4149855271982767
7,167.04546427468463,167.50316970803308,179.23739094933714,179.36483184528868,177.9094445276835,175.88111507666838,1.4150223265500619
8,167.10007408824956,167.5028189619024,179.12197579315944,178.77521167744098,177.90703510878618,175.89505310074125,1.4151653539832767
9,167.10429366221507,167.55137521094014,179.12739184420977,178.65597129461372,177.73806985433913,175.9145899714734,1.4153286120855126
10,167.10165601598464,167.54991943331876,179.1773468972196,179.24241587563574,177.90889343928987,177.15630899591122,1.4274949263213628
11,167.091143417079,167.5438840789011,179.19166448570633,179.1950319650056,177.90810269243093,177.15001920659066,1.4276858045500278
12,167.11701646656445,167.4732697902015,179.13525290781868,178.73549832011915,177.91480488252836,176.94607022845062,1.4279057247377689
13,167.18181893006343,167.46529978412295,179.08687786175526,179.38804461099366,177.73995438459022,176.97208699104507,1.427687162767305
14,167.17561492026076,167.46792204703337,179.1588286501234,179.384101523908,177.730357892837,177.17587096527444,1.427733142733606
15,167.2135575249456,167.54651662702125,178.9290578692927,179.2501287390669,177.73923115015785,177.16800151600222,1.4279189833200954
16,167.1641486152803,167.5065621886286,179.03327404109803,179.147229631832,177.90434376913691,177.1695870324695,1.4278680061946551
17,167.14822486933753,166.3181023197323,179.0505087041911,179.97644813911415,177.92665134419633,176.95807008290413,1.4278377579428987
18,167.15481602164178,166.92129525254836,179.04175167097705,179.22300109675132,177.9451801143929,177.2304772473821,1.3980583793393433
19,167.10633062149697,166.3130185522612,179.22667211647777,179.84265083322003,178.104709805574,175.71695908999985,1.4152087027871156
20,166.48597197220735,165.87005968407945,179.64929625804032,179.8384989112614,178.11492844189402,175.77778390291348,1.3853812636165586
21,166.46869232008706,166.9082134797473,179.6299988064666,179.29808025221965,175.7161877479807,174.18409553355897,1.3728637041039549
22,167.6394446476224,165.8997522312849,179.71332810264522,179.94992794949061,175.71273569421405,174.6715220771219,1.3724445335238866
23,167.1972970819005,165.91972461359626,179.10731944561806,179.99897069309816,175.83343920310247,173.4233332691394,1.36022500991281
24,166.5296261980194,165.1798760198506,179.53081690467062,178.80082016760366,176.93108920102705,173.12564631291448,1.37167443684371
25,167.74636197297855,165.23743750871785,179.31896359489772,179.25710584701437,175.67271909158688,173.3246017371134,1.3889724598234567
26,167.11957567280047,164.55934369882846,179.46527327532394,178.03652787002116,175.86678051851513,173.58541337218952,1.3894554295976944
27,168.26360436784475,165.26664184351964,179.86939781705738,178.83221914168846,175.85901317314003,172.90250404017252,1.4022529021668626
28,168.34983705535782,164.5112330211559,179.77571957981576,178.1570966996979,173.5118833752052,173.5481171292505,1.4153947978026344
29,168.22951719250966,163.98436738255174,179.9245345772672,178.5837930138164,173.23413390348094,174.97246227335526,1.4285657541078378
30,168.1252208972104,163.14445433303183,179.77939596702058,177.26376327753135,176.10706233731193,175.7806421360463,1.4418452709413967
31,169.36063258653934,161.76173548461,179.57954150689724,176.581743285717,175.60091497414464,175.4066444216818,1.4419355977685189
32,169.73578136906406,161.21116210120775,179.7781991572745,176.41757013449723,172.81218253840913,177.56774756285253,1.4550752020766105
33,169.5603557665129,161.2998295259672,179.07645009517785,177.13331130585394,171.75160419920377,178.00315539443744,1.4867872728573477
34,169.82841924442297,160.0206423483143,178.12631041601614,175.70853571661266,169.38086078109706,177.1001163415083,1.4882953315502756
35,171.01614516314524,156.176499383242,177.15312923843732,173.78099995643552,171.09686839433647,177.26884602915294,1.501223390693285
