,right_hip_deg,left_hip_deg,right_knee_deg,left_knee_deg,right_arm_deg,left_arm_deg,h_s_ratio
0,161.84958594759297,167.4856380005117,176.3798276579504,177.71871092323528,159.34796720737944,173.6965050371726,1.421765127959818
1,160.92974160437169,166.94652661912775,175.40989387696698,178.90425636034487,160.3800742398091,173.6830798169956,1.4033569405099153
2,160.92001258434274,166.94045137347698,175.400445967619,178.82956137339932,160.39314684587558,173.37505454869734,1.4032812426231056
3,161.35985613271131,166.96486212338039,175.40724431936306,178.73906658551712,159.34881670594163,173.3742696631625,1.421769911504425
4,161.9529263633924,166.35623597720078,175.96779042462109,178.1896248026809,160.38472429543506,173.36313417721877,1.4029643615765877
5,160.93301688818445,167.5634214273504,175.52569613409693,177.5526627716858,160.37691176505564,173.39979541106106,1.4031487513572205
6,160.93815860434026,167.55623758586157,175.52059724771536,177.56430216120143,160.36827721455515,173.3746792795081,1.403025868580061
7,161.45745162786272,166.29027899917207,175.50835425352867,178.34544902187534,159.01227505695778,173.3832254513675,1.4218416646735232
8,160.84090854039573,166.3717413750503,175.34153442257457,178.16466530228527,160.02730694111327,173.37505840605806,1.4033188556321408
9,160.92221153355854,167.5075625186105,175.39677945319337,177.70119625133498,160.37059177484278,174.5821751697464,1.416659585516689
10,161.44959290945025,167.5633162010276,175.50971604347865,177.54491017004054,159.35795899119918,174.60020870039043,1.4353678369845986
11,161.46304860448492,167.49422641486277,175.52158157471047,177.72351560705238,159.3798540218228,174.7071825926886,1.4357494856705428
12,161.35368727311192,167.51029042268823,175.36223293886616,177.72117571693852,159.3749543626596,174.70586045367918,1.4356664434025457
13,161.43473969936687,167.65578260992936,175.4812237897044,177.5367727410642,159.38146504355197,173.7193058785582,1.4223455667735296
14,161.43556961889635,167.4042528871076,175.40279840678804,177.95457783693303,159.34204140802578,173.37724552562602,1.4221063208765965
15,161.43054605845128,168.09225613047857,175.3987361081621,177.78716391495507,159.0191272425202,172.5677887365825,1.4416092734503827
16,161.41996865523947,167.5935808505643,175.3952570408162,177.6795096581492,159.3519864471573,173.5892716249654,1.422066985645933
17,161.2971810719209,167.54461160597947,175.2150498369104,177.9333284680593,159.02897112511585,173.80532963301349,1.4218755980861246
18,161.40844367737154,169.31303272461003,175.3681949419616,177.30103459195405,159.04772115596913,173.11616386042692,1.4412366634335594
19,160.90664547745624,167.52427851020306,175.379584196085,177.9417128216537,160.08053739528896,173.79665025994112,1.4028752183560744
20,161.4176487806608,167.65056603629085,175.3796208986814,177.76748723725964,159.05168015425204,172.79882426010565,1.4075381451188607
21,161.41074047120145,167.5742912691474,175.2887403406137,177.79426930781344,159.0226179269316,172.53522984753047,1.4071592539454805
22,162.45210314693682,167.56698825361636,175.8309707544116,177.8791522415296,159.05076260547418,172.52936820280726,1.407609891423926
23,162.53837003304255,166.2802150877566,175.94488426943354,178.5930666717256,159.0682654759945,172.32982347128416,1.4073932380087035
24,162.6409409973533,166.43533363380283,176.0504580954145,178.30197570010566,159.0715652860369,172.542522855749,1.4075230761872877
25,162.5878555337771,167.57539202358572,176.00268124316415,177.76841666847974,159.40716561712676,172.54259993470643,1.4073023767395154
26,162.69767075359462,167.64312038913425,176.15021846978163,177.7576067383692,159.0403366345899,172.71741406048454,1.4075911221658857
27,162.69115541716258,167.69204263864037,176.13189004283726,177.70269101205844,161.0935001916431,172.73305727047165,1.407576047445954
28,162.69137172182832,167.15330059589974,176.12811509062536,177.6112550360791,161.09379905923075,173.74705253605848,1.3890908232628403
29,162.67894502683745,165.94853359702643,176.12372888939078,178.323737600217,161.1063113427754,173.73398061016374,1.388786105342646
30,162.68735606736496,167.6717878943199,176.13966119899388,177.62305664157196,161.1225726000628,172.74749798623594,1.4072921149524207
31,162.77200510592579,167.08543309297954,176.27373809836357,177.61888650457925,159.03821403637238,172.3856116970208,1.3755993958844621
32,162.77583343494115,167.13912562910036,176.22856964478135,177.63237444321544,159.05130716152016,173.7359133741308,1.3889612534805784
33,162.66305968651656,167.1323645988343,176.1256290170458,177.6372469823165,159.06611974446105,173.71264106098664,1.389154238248064
34,162.69835053436813,167.15651481248594,176.18204862738108,177.62053413367556,159.0233487383372,173.71325747063435,1.3893792777908884
35,162.7721816566118,167.18007940607126,176.3873968412954,177.54721519894488,159.0455230075398,173.46581301549202,1.3890792392279
36,162.76968621036085,167.23400023771944,176.24236917742263,177.55274921107414,159.3779001495847,173.42746451603003,1.3896945663975826
