,right_hip_deg,left_hip_deg,right_knee_deg,left_knee_deg,right_arm_deg,left_arm_deg,h_s_ratio
0,176.3462223514791,174.39257255600708,176.2039802749842,172.33111990984528,166.53860020387037,159.06478576741907,1.2607764053440893
1,174.59849697506814,175.4530802573483,177.32551575146704,170.19210310816587,167.3325846245837,159.05120262741437,1.296057437964478
2,176.3352347714754,175.4016535434649,176.22318633969857,170.19214258523922,167.77121311135264,158.8850608391819,1.296308893927941
3,174.5469684613588,174.39438951798522,177.33880681658488,171.26694872153004,167.7522919538581,157.82763678968024,1.345192056441074
4,174.5686975929809,174.36510109964698,177.30229993679356,171.262224969096,165.02821580815242,157.82241517139107,1.3452549019607842
5,174.54633584185814,172.7115757538825,177.31908704657792,172.3021842509753,167.72383174907006,157.82223440996154,1.345606694560669
6,174.49589072824526,173.7541224185648,177.4057402509851,170.23639559194922,164.49132043485835,157.83922871830043,1.3462665097423812
7,174.53414882770937,173.7255892254421,177.3306881129855,170.3673361127402,167.74686833673323,157.85917878848028,1.3475088269909756
8,174.54607811873092,173.7435138586899,177.31191545141533,170.35973848032677,165.2909339345391,157.8380771099912,1.3839999999999992
9,172.8031883743993,175.39072588458043,178.41796231456317,169.36920008356,168.66117393558608,157.85946409946484,1.3841286442672232
10,172.7719905101007,173.69754018479304,178.461771818506,170.41290026355296,169.91886105531293,157.85365664693316,1.4229501765398183
11,172.77475509155607,173.7568513327903,178.4120522740457,170.16303996938214,170.39731174729408,157.86396554838777,1.4228003660609212
12,172.79118804582794,173.72659956100438,178.43707645383043,170.3700140890523,167.53522814896172,157.8317114984604,1.4225578658297362
13,172.79176146852828,173.73016931694184,178.4090507990125,170.1790706326055,171.7907422336239,157.85584424267734,1.3854229311021042
14,172.791869578984,173.73395005155047,178.4045698976557,170.16692037780584,171.8167837173067,157.85548333247098,1.385292195058177
15,172.73331762447756,173.7775192014282,178.50357616565213,170.1622156257575,168.51392798191517,157.84383405121736,1.3851856694560656
16,172.73267749800826,174.8435762042193,178.48822220371267,168.08877926955455,168.98493944785827,157.86396554838777,1.3853314158713543
17,172.70740564646826,174.8385893628494,178.51855011832816,167.083705070649,168.5673401818014,157.8748285262454,1.384969285060775
18,172.70966694295836,173.7874465536019,178.50170305202337,169.13739469516105,165.8145408940349,157.87753061268924,1.384169934640521
19,172.71898427061382,173.81042736783743,178.52031563889332,169.1313063532014,171.86285215678618,157.85963840275346,1.3847712418300642
20,172.77555708509263,173.7901681487927,178.33991021038187,170.15081424797495,171.83509700527853,157.89643623869986,1.385141139571352
21,176.39447482578063,175.42494111175753,176.02502836656362,168.93244937277498,172.62397266392435,158.02298229912773,1.309477124183004
22,176.43214000325366,173.75697997615782,176.0107601068751,169.13676440238336,170.5507505084259,157.72783137353198,1.2696764091858006
23,178.18364182384488,176.74525352089526,175.05378761505298,170.12088245025768,171.3469343552092,158.01546632861704,1.354445649227434
24,178.22409149448393,176.31712787026427,175.07222786082858,173.23942349694443,169.9256980005734,160.4765611923884,1.3172315618221238
25,179.38688151861004,176.94307796067264,173.8673833185422,174.58595622230442,167.9705676244527,160.28524610634366,1.2661319770474673
26,179.39493690109802,176.95483492760152,173.88310295275474,174.44112649924833,167.9890239131892,160.28521608120442,1.266266788368755
27,179.07975238862966,179.66824972797437,176.11316578682516,172.29262644914934,165.86432549044102,160.56980928093765,1.1773168364871427
28,177.81690544861115,179.96825926500338,177.36175277451227,174.20863518515836,167.49639753134167,159.56147067373612,1.1045789905141126
29,175.99607680478738,177.62127307724273,175.07043831566753,173.3180264454853,170.66446990524364,159.02198940787733,1.1466229348882402
30,166.26467711287887,168.55675148462973,172.9885898408746,170.05262982071667,179.94443180589997,160.09389623992558,1.1801944106925883
31,164.26906261725333,165.91291859103617,173.02279429912744,170.11900935957772,179.91187861493685,162.1944813110259,1.4956202317038678
32,165.32218890081128,167.3922025446901,172.92676896363312,170.02082303909168,178.68331398882185,164.1252616941351,1.518234870022991
33,162.3648244613164,163.67436724705288,174.09933951238534,167.57722916219265,178.6203264507619,170.48904980583407,1.5170896647248147
34,160.16862297793085,161.64661700510106,170.2652167548952,168.5119787055156,177.219676626259,173.22774975493547,1.5809572301425643
35,157.5348519418413,162.8222833823318,167.36391360800286,169.5024109611557,175.75031825594866,174.7392731800485,1.5209642750251657
36,156.7425994602556,159.49996346378728,167.14849666834237,166.1430827896657,178.79150032629596,175.7066907634472,1.5206125974184939
37,154.56841328752773,155.7813026320211,165.348271842539,164.8751469099495,179.8650907385182,173.70268051525747,1.6495362246176974
