,right_hip_deg,left_hip_deg,right_knee_deg,left_knee_deg,right_arm_deg,left_arm_deg,h_s_ratio
0,173.36473585338345,164.95927625116906,175.27590390995164,173.02603324351463,175.9204139415142,170.60252853396932,1.3005322160570714
1,173.2676885355816,164.8406461380494,175.1755455155905,172.8198466664876,175.90910118896315,170.59718592499422,1.2992353114182948
2,173.36826958508104,164.3174911429149,175.27224670596704,172.9934041125879,175.8533949703771,171.7606591454321,1.2600100923670987
3,174.0127360653301,165.0611976885919,175.27099278108298,173.1711790760201,174.68035346171584,170.65220060754802,1.2594858972671819
4,173.36968299630348,164.9202238432726,175.2628746022224,173.06933892389247,175.61530077849716,170.56516342274193,1.2980022385781629
5,173.43319749708556,164.89404863310946,175.34820038388185,174.06133113565318,178.63325056164513,170.5825478324214,1.2993154947106398
6,172.47124741828083,164.93711084885663,173.24440462372814,173.03545914300437,178.51004482663376,170.66046513494965,1.2994400769187275
7,172.6464388855581,165.0126414909853,173.4479037614486,174.12352828414006,178.87594325569026,170.6146632929461,1.3004495476214746
8,173.45058286084424,165.1459808669904,175.35027703046103,173.30587347060845,178.3098380465178,170.62801085434555,1.2990538919445007
9,173.42325629687386,165.08840988040942,175.34962250767745,173.1931242092061,178.36342636683744,170.64834973123615,1.3012547562964303
10,173.4164288910794,165.03375147854243,175.35612311102406,173.19808308486375,176.81348064318422,170.6845908875732,1.3329784703897067
11,172.7495117167708,165.0339910226076,175.34361043978296,173.16978532132651,178.0309234865002,169.3104264017357,1.3455163123059801
12,172.78246544566738,165.05465805281807,175.3524755365255,173.19615388244281,178.31018370207056,170.66755363074992,1.377715831761909
13,173.343194176896,164.9581135190642,175.28275078926112,173.03181222335388,176.8247486140612,173.09079881710832,1.3322688047835827
14,173.36068226213038,166.53786360488732,175.26402331204486,173.98464761225344,178.40512578991599,171.6961319033895,1.3331596356880686
15,174.13398245005575,166.66232016020564,175.3749985511089,174.13004413438915,179.78994719358033,170.36825796286035,1.2605437549372434
16,174.15546640791834,166.7085180447454,175.35813908922577,175.08761508914304,178.50266942190663,170.3792773935854,1.2906777989612765
17,173.20603137342337,168.15266791540387,173.26667636426478,173.26054430977084,178.8139911140425,167.97662601347227,1.334172478312639
18,173.21877664205846,168.06552838658203,173.2521319206572,173.19299222218893,176.2278469667486,169.07862121031815,1.2990302028992062
19,175.5061714019224,170.4336745362832,174.19043106368423,174.1337004410994,179.03039980729093,166.68502433065922,1.2990112898481854
