,right_hip_deg,left_hip_deg,right_knee_deg,left_knee_deg,right_arm_deg,left_arm_deg,h_s_ratio
0,168.29059708770663,169.61641682397087,177.15632291750077,179.3189609445503,172.8718672953405,167.64535563045268,1.48529697204969
1,167.77537726336092,167.73010764420837,175.94167609816236,178.61658980502452,173.01121978755904,165.40371543902495,1.485369049352161
2,167.86075110828736,168.44110821375082,175.85693545403015,179.89808735752993,171.93657714044184,165.69631222464085,1.4715845668527046
3,168.42649265382678,167.90193976461515,175.91434702194204,179.77462002290707,170.7024727941452,167.10498103921725,1.443608292469777
4,168.69991089268476,167.8054673377301,176.02488569291353,179.99571216276425,168.84028454515092,166.84611982883513,1.415566129345504
5,168.83629911312133,168.81582559951332,176.12899381049664,177.95612499442387,169.0661574191345,165.6593161808917,1.401495290804932
6,169.1877113096613,167.58065274227783,175.92552106824846,179.65376411842286,168.1584433154822,167.60714509098025,1.4195136359161162
7,169.61201095555148,168.80712258393874,175.92070786200668,179.39781092333476,168.45121506275265,166.37991582912574,1.4109595883910284
8,168.53214076632148,168.71621365172973,175.2345180455855,179.82628275807167,167.68253616546977,165.29031047468786,1.3812234706616724
9,168.82502165135617,167.66712706353226,175.01544106021228,177.82405349347252,164.7161660155738,164.28772087177066,1.3266453868369057
10,168.73315158189104,168.0442549686126,174.8837301579462,178.65795453688222,166.74709966779255,162.4572969752044,1.2389398469568749
11,168.24962496051378,169.08013787181153,174.5109226067867,179.2628565767993,171.33055689885003,162.82431436296127,1.193858937981354
12,164.9831294868209,165.59771626145866,172.6938757829174,177.0631212182671,173.33630793539072,169.17275473453,1.1447076786681765
13,165.85397966915093,164.25898466085218,172.58815562928115,175.17212949559823,168.53455383071704,170.65423296980967,1.0883112935096522
14,166.3629478693477,161.5026105474101,173.25659001473548,172.6089654923605,168.53968660997117,170.5765494051929,1.0295278541094184
15,165.78398218415964,156.860962188272,172.24400162457079,168.98351761184261,168.6296774842176,167.68127413190012,0.9556443556443551
16,166.90333240948723,155.16014693717764,172.820511022719,167.7933540954178,167.82312806543382,168.89615551900314,0.8969324540367722
17,166.61346389936924,153.55491449373335,172.68988864111049,166.33951630878437,172.4027192326065,169.84365800558285,0.8385291766586732
18,165.69332032061243,149.93899839073504,170.72832340222888,164.387874544476,172.5312992964789,172.0234834449274,0.8073793000149786
19,164.38185001940337,148.7041642213076,169.22597669153134,163.72975885707297,173.48976275121802,172.3449918623785,0.7382253063635019
20,164.7507623579006,147.48250745296912,167.25609306892284,160.0684208992366,171.74049699616668,173.77103137430888,0.6713731198447357
21,161.0007667919022,143.6747192210912,164.83535780061783,155.44447437595846,170.49889915013378,175.96711165673813,0.5923408329344182
22,160.2770226319905,142.07834030750385,163.19496866680257,153.03480594506274,169.39078588650318,176.06307029307843,0.5851575013347562
23,157.80935940838071,137.2789730518379,159.7069093910569,149.18302908523066,169.42515989193413,176.00683340333208,0.5715672003881604
24,154.917197163931,136.1200580419577,156.88705403175118,146.18553117850212,172.7240421353048,176.72502892937086,0.5492195729196595
25,151.76841994659304,135.43704042507633,154.48281999818911,145.2950969944393,173.03131188320947,179.50298292447164,0.5136397961110056
26,151.477733242751,131.59415272604545,154.4972529328739,142.0904257812999,172.99299752530615,178.40359906813205,0.5005665722379599
27,147.59015918431854,132.913887970323,152.1214926076857,143.55897188360944,173.292055560454,178.74207988972202,0.4720320981826761
28,145.37470986796455,132.71676989796987,149.4709491701661,141.69920404354835,173.84819504667817,176.86077565772064,0.44462279293739904
29,145.99074000354233,126.46383709876302,149.42066293315534,134.52121284210415,172.91855205762866,176.31558590185793,0.4227070475096881
30,141.66410675747412,127.21519341599083,146.33198364573664,134.8097295892131,172.88522889745286,174.64935722815198,0.36206164157266174
31,141.3664964018811,125.98107828649341,145.03111867585937,133.73400470749593,173.9481340723706,175.77042693756334,0.38942398489140717
32,141.15271435750483,120.17911574406827,143.85584514626038,128.95572641217473,173.27540906350794,175.10514216494556,0.38889937700585153
33,131.5848033218856,120.79790807703058,135.6355511784682,128.002121309942,173.62866159581563,175.47761616191465,0.3890147225368058
34,128.11261844208738,120.40566219862059,132.58982506720943,126.93579449442558,174.53483677473992,176.980331871796,0.43049983480436155
35,130.5153290552853,118.39844008942438,135.40673318872294,126.09667732503586,175.27446304263316,179.116613978186,0.4860717658168086
36,129.54649751359685,115.96219359506922,134.41996289821176,124.52843548032455,172.3822054360537,178.84962331472195,0.5003304692663585
37,122.80557680256703,113.42187508739029,127.8661156644014,120.97961843609826,174.67436232709784,178.93408713908954,0.5136844092110224
38,123.41517306207672,113.06060882382673,126.63024961717397,120.93416270994452,167.9526423312213,179.13220215591073,0.6105213493748535
39,120.5850377621427,110.87654419016363,122.23233381232457,118.22450491564094,172.61511759767887,178.60169851708548,0.5136372215930539
40,116.48432158960573,111.1959908647184,118.37418144869544,117.73073815433773,172.0458693366563,178.73626703398176,0.5139459153334274
41,119.90098854173432,105.92871018884853,120.28465707927242,113.83412845565674,174.37407134740448,176.92898922908006,0.49952803473664437
42,120.9863474909121,107.6573020840171,121.52947503876405,116.35830243654158,174.22609685267182,177.739167172393,0.51306603773585
43,118.14865031481243,106.74455712135892,119.32332556692396,115.01321862096749,175.16700692038864,178.42532733813357,0.5138666163569477
44,119.1501697540759,107.83279182381395,120.38885388663473,116.32757704567857,173.63038617496278,178.46026483189564,0.5142210273100325
45,118.00177917509684,106.79256786106389,119.18904284544901,115.05059970561264,173.61840084798118,178.90553778022726,0.5279664214299192
46,114.76088149267363,107.06568453835169,117.20603652986446,114.49864802932053,175.2624927174525,179.57944070374086,0.5410261246816941
47,115.90867431182187,105.80831687570716,118.40321245186404,113.21816446666111,175.2555657784097,179.51832628123947,0.541951610621139
48,114.42120644403602,105.62606560341327,117.40833010905816,113.21680891324291,175.2354947804338,179.66694441135158,0.5422345894448894
49,111.9728624147831,104.48305799997911,114.90334629244092,111.88599686548348,177.40210264763365,179.654924411959,0.5551990941687113
50,110.3655730739242,106.02114792022931,113.89178852677969,112.51572529660909,175.93181981101108,179.43495915072614,0.5555817795610106
51,113.28531101613687,104.61754277355055,116.19289344728918,111.87458077499033,175.86878404667746,179.43735422052026,0.5555870273332394
52,116.15384697052833,103.40692227286138,118.37722826357407,111.19700117650885,176.05692690381363,179.29648079515806,0.5557706837929735
53,117.29973791245817,104.60020710832123,119.84410137778673,112.52161047568411,176.13124143375762,179.55967379000631,0.5559544617128822
54,117.9966920404385,105.84362575972591,119.82302479474757,113.78601997417353,175.56421811677095,179.3634659621685,0.5629367282473442
55,118.21733827657648,109.05880589983023,119.54413305693807,117.5160447617262,174.870671661638,179.55812659906894,0.5496530270399622
56,115.30820372240595,110.90522137268013,117.48246893762196,117.97030716078,174.8881877548767,179.61622920191996,0.5494615936826999
57,114.32646840543364,111.68929275437212,117.79565033402527,119.32005741646796,175.69434676168962,179.94207456967712,0.5422255809559804
58,110.80451327012983,110.29195228487927,114.45797301501015,118.17606488326902,175.59591095314426,179.8190107422305,0.562712351055176
59,117.20572574124274,109.0560704524792,120.23138600384591,118.91729529836562,176.2658033493935,178.954685540055,0.5417493151978844
60,123.1919357906084,106.64029043667722,124.94420681576689,118.80779510251202,176.7794884262897,178.4316100306926,0.549052450229709
61,131.19416213754693,109.21319892182461,131.5263725436619,125.16299812631792,175.91739281983726,178.51069405304438,0.5419973544973544
62,132.32218677308398,116.72269764828646,132.6457054446882,130.8124265377276,171.92709664073246,178.71320261958942,0.5703678540231001
63,130.2665851971333,118.07455224835655,132.09688418238997,130.27360366014832,172.2782284781375,178.55165264087773,0.5634814247414772
64,135.65092094732347,120.43639471683248,135.43584703958615,133.77536602370682,170.65430236457271,177.84690077882038,0.5626435681470133
65,142.3019472222777,120.41591693257082,142.0905205191075,134.3544928528231,170.04752641272725,178.1614959917734,0.5637207966296441
66,141.72134534943072,129.67126656950828,142.7732893712616,140.15864143130003,170.06900783086698,176.40045262554122,0.5873245767367522
67,146.76050021571965,128.94333192969194,147.86484585169987,141.87492900943724,169.09106898817916,176.54472469652086,0.5653329396131692
68,152.48643386356005,133.01924221905062,154.50803415602405,144.80700885641107,168.945630828205,175.0718053419754,0.5735690740185803
69,156.0168027601237,138.32799142261644,158.32347714402792,149.3715657699271,168.399832858067,172.76817679098806,0.5740833250074929
70,157.8822363719312,143.5888949267486,161.2162259097399,155.25555069734983,169.0385243683318,170.00722252993862,0.5667511403953368
71,162.33858973433084,144.4937245204115,165.2596275831947,155.67209604986152,171.75804138138488,169.03472627140985,0.5670416539981764
72,165.81016202663065,149.1952684733559,167.1401240190463,161.69358568030023,168.8060343407944,169.04083608107732,0.5522100567720998
73,171.1969192663081,149.79375880705612,173.01034732055913,162.76404664319762,169.29127396321525,169.14113031179798,0.5664268342115931
74,172.3270816730596,151.66254233912886,174.65111190245094,165.3107413663359,169.2912809126725,170.75067353658898,0.5815581253804019
75,172.9994004408491,154.52598942885405,178.64721843577593,170.07617114292083,168.54975810953553,169.58244107121894,0.5583266693322668
76,174.5765055678943,156.767474418841,178.98178133542234,172.31937806147863,167.15109033787928,168.55841333699294,0.595873048063273
77,172.80331675107865,159.5496588851371,178.93395257347504,175.35386486765594,162.9964296262452,167.08581305546394,0.5817610062893082
78,170.55007849248224,160.79866856849276,178.19176668460932,176.39842389943615,162.21527486902716,165.90711338415093,0.5968445616883118
79,169.25223457263397,164.65965492610846,177.58185788806193,178.23318614335957,164.16250047855095,165.7684747401425,0.574006498375406
80,170.52523765802604,163.2402344661841,178.36154944070225,177.1522546818446,163.94806966250422,165.80100796614775,0.5742777166849952
81,169.6479607491684,167.74377586159395,178.1635012427193,179.11332002795606,162.07431708675347,167.13388489283784,0.5881117832325157
82,169.61496568328172,168.05996473104813,178.22464235837546,179.12593935412156,163.8326146618535,165.2192782712359,0.588182363527295
83,169.6250571163923,168.1727336506688,178.1758714549454,179.41582847813334,164.88789515856524,165.18243414536423,0.5741416362636814
84,167.78261954922928,169.46256601500704,175.62442437140794,179.75837176894169,168.0372704838128,165.19415726296654,0.5875093679740188
85,168.93450658457215,167.99682898011523,176.30574766949402,178.12853597571467,165.65698767407088,165.13547768049332,0.5874737578726382
86,168.24850072933774,167.98606667354613,175.64306800605277,177.52158764205254,164.98708000970777,165.18685731650206,0.5968150928086015
87,167.66034024525203,168.0597049930607,175.569095508208,177.65130064951558,165.95020899490905,165.2130016392314,0.5885794289714488
88,167.90899460084182,167.8402834544794,175.82412818495936,177.3242217366596,166.97227790045602,164.92407723579512,0.5751650330066012
89,167.90790916322317,166.7640542109551,175.83687671645603,176.72810218325324,167.0042337244318,165.5055210972915,0.5745638154276856
90,120.6382556535405,127.71183069622167,163.3565142152708,176.6289764839492,163.3565142152708,163.3565142152708,-1.0
91,168.2639573538994,168.00688437567752,175.6441570037165,177.63233010592177,165.92886277381444,165.23613290888628,0.6053105542119072
92,168.3435634303239,167.11076224024663,175.69148108540324,175.42168869620403,165.93538325428793,166.16093821744929,0.5967218106160562
93,168.83831156589295,167.1861944397689,175.6951090089155,175.5779007265983,166.18933090844843,164.53108393345636,0.5909980430528373
94,168.72981133624572,171.6217150328854,173.40217531120066,166.4222247146946,46.62065328474938,173.40217531120066,0.0
95,161.56361173428257,177.42784285088123,174.35397392532084,177.57264553241285,102.1869542496073,174.35397392532084,12.031123863249533
